transaction_id,amount,hour,predicted_label,fraud_probability,top_shap_feature,shap_value
263020,23.0,20,0,4e-06,V4,-7.221524
11378,11.85,5,0,0.0,V3,-5.803944
147283,76.07,0,0,0.0,V3,-4.738352
219439,0.99,15,0,1e-06,V1,-6.149994
36939,1.5,10,0,3e-06,V12,-2.700214
243438,8.99,18,0,0.000153,V4,-6.835825
259448,52.0,20,0,2.9e-05,V4,-6.736326
43800,3.59,11,0,1e-06,V3,-4.411516
66742,27.92,14,0,0.000224,V12,-4.715328
66499,95.25,14,0,0.000279,V4,-4.559625
83371,1222.48,16,0,3.7e-05,V12,-8.826358
12890,301.82,6,0,0.000816,V3,-4.585474
81804,56.18,16,0,0.000429,V4,-5.930368
192849,4.56,12,0,5.4e-05,V4,-6.933686
91888,1.79,17,0,0.000749,V14,-4.107573
248680,1.98,18,0,1e-06,V1,-5.97798
59051,264.0,13,0,0.003108,V4,-6.401972
8336,4.0,3,0,3e-06,V14,-6.404834
118398,69.0,20,0,4e-06,V4,-4.69893
224464,1.0,15,0,0.004386,V1,-6.283969
40482,187.45,11,0,0.000783,V3,-3.797492
254792,70.0,19,0,0.006418,V11,-3.309296
146793,11.5,0,0,7e-06,V4,-5.344654
89695,0.89,17,0,1.6e-05,V4,-5.246464
108813,15.0,19,0,4e-05,V24,-4.425954
49034,0.89,12,0,0.001614,V3,-4.993735
146582,1.0,0,0,0.0,V12,-5.451632
248176,11.99,18,0,0.001273,V4,-6.530502
259391,68.78,20,0,0.000166,V4,-5.274768
9261,25.0,3,0,1e-06,V14,-4.76141
188175,1.0,11,0,0.008961,V1,-5.037
32822,1.5,10,0,1.1e-05,V11,-4.002898
41238,10.0,11,0,2e-05,V3,-3.839849
182131,0.99,10,0,1e-06,V4,-6.23341
261008,5.2,20,0,4.8e-05,V11,-4.311275
160162,52.88,7,0,1.5e-05,V1,-6.650525
278912,93.39,22,0,1e-06,V12,-3.985645
202749,57.1,13,0,9e-06,V4,-5.426672
116509,42.87,20,0,5e-06,V11,-4.915097
127165,13.32,21,0,0.000147,V14,-5.887707
49943,61.18,12,0,3.6e-05,V18,-3.360268
66503,29.68,14,0,1.3e-05,V4,-4.677896
165530,1.78,8,0,0.0,V4,-6.381426
250395,20.13,19,0,1.1e-05,V14,-4.627544
198694,129.0,12,0,0.008167,V4,-4.312344
230362,3.7,16,0,0.003252,V4,-6.723458
181415,14.75,10,0,0.0,V11,-6.741
187592,151.29,11,0,0.00252,V14,-3.923022
185764,29.9,11,0,1.2e-05,V4,-8.394513
222756,598.75,15,0,2.7e-05,V4,-8.218184
22028,41.59,8,0,1.1e-05,V3,-4.548676
103061,130.0,19,0,5e-06,V14,-4.352652
58932,50.0,13,0,3.4e-05,V4,-6.442488
157934,191.78,6,0,1.7e-05,V14,-6.830998
119439,80.22,20,0,2.7e-05,V4,-6.280998
201551,50.0,13,0,3.2e-05,V3,-4.151092
94688,13.74,18,0,2e-06,V12,-4.90463
236129,1.0,17,0,0.000119,V11,-3.693166
71022,1352.14,15,0,3e-05,V14,-4.141903
211516,33.0,14,0,0.000153,V14,-5.529508
155412,2.12,5,0,9e-06,V1,-6.216397
132345,43.03,22,0,0.000301,V3,-3.472068
143981,2.99,23,0,1.4e-05,V3,-3.81145
30088,227.44,9,0,4.9e-05,V12,-3.212682
155617,57.6,5,0,6.4e-05,V3,-8.168736
20971,332.35,8,0,3e-06,V14,-3.438464
158895,438.4,7,0,4.1e-05,V14,-5.613983
276003,1.5,22,0,0.014489,V2,-1.746167
28607,22.08,9,0,0.000189,V3,-2.320638
237933,8.99,17,0,0.000159,V1,-6.735414
152514,15.95,3,0,0.0,V14,-7.53267
248114,105.5,18,0,0.000149,V1,-4.397131
6263,500.0,2,0,2.5e-05,V14,-6.213412
83265,7.58,16,0,2.3e-05,V3,-4.016026
35776,28.75,10,0,0.028642,V14,-2.927282
127082,1.0,21,0,3e-06,V14,-3.749834
281064,9.99,23,0,4.3e-05,V3,-3.923897
253147,5.38,19,0,0.000144,V4,-5.750042
201369,22.7,13,0,4.8e-05,V4,-5.623985
45223,814.8,11,0,0.005096,V14,-3.154092
230172,113.49,16,0,1.5e-05,V4,-4.770484
83362,4.99,16,0,0.11531,V12,-2.379567
162284,0.76,7,0,6e-06,V1,-5.027448
256823,5.41,19,0,7e-06,V24,-5.028871
74545,48.96,15,0,2.6e-05,V14,-4.979641
92940,50.9,17,0,0.000139,V12,-7.536048
273340,17.24,21,0,0.000723,V4,-5.947434
193256,43.0,12,0,0.000522,V1,-5.89158
109963,10.77,19,0,0.0,V12,-6.905365
76437,75.0,15,0,0.000659,V4,-6.46481
89712,9.9,17,0,0.000752,V14,-3.453301
68792,438.5,14,0,0.000654,V3,-3.886719
72435,182.6,15,0,0.002659,V12,-4.134058
86272,1.98,16,0,9e-06,V14,-5.75143
112653,2.58,20,0,8.5e-05,V4,-3.287172
248312,14.99,18,0,0.000104,V4,-4.062281
151401,0.89,2,0,8e-06,V14,-7.070456
83924,149.57,16,0,6e-06,V3,-4.445079
267734,25.89,21,0,0.002109,V4,-4.119018
81119,164.37,16,0,0.00025,V12,-3.36874
225116,124.0,16,0,0.001056,V4,-5.472907
74420,14.9,15,0,0.331279,V3,-4.110681
162494,64.0,7,0,4e-06,V4,-6.059188
170168,37.81,9,0,0.0,V4,-5.336768
218784,24.99,15,0,0.000263,V1,-4.858086
221308,4.49,15,0,1.2e-05,V4,-5.252612
265934,103.5,21,0,0.001986,V4,-4.423521
186797,72.9,11,0,1e-06,V1,-4.452906
244271,27.51,18,0,0.001069,V1,-6.735636
122750,630.54,21,1,0.933246,V12,-1.71358
58695,60.0,13,0,1.1e-05,V18,-3.588039
202116,89.95,13,0,1.3e-05,V1,-5.087165
17112,236.84,7,0,0.006165,V12,-3.487476
87679,4.49,17,0,0.000809,V14,-5.970969
101708,58.0,18,0,0.025323,V3,-5.12974
144128,15.6,23,0,5e-06,V4,-4.549706
22653,37.92,8,0,9e-06,V25,-3.766699
75374,99.0,15,0,0.029397,V12,-2.889122
203321,250.0,13,0,1.1e-05,V14,-4.138487
273842,7.0,22,0,2.5e-05,V4,-5.70959
55314,121.98,13,0,2e-06,V4,-6.659332
45779,36.0,11,0,0.000344,V4,-7.969927
45181,36.0,11,0,0.000429,V14,-5.961736
168019,122.75,9,0,7e-06,V1,-4.65021
131336,40.5,22,0,0.000159,V4,-6.368139
3590,28.58,0,0,8e-06,V3,-3.89916
110769,20.9,19,0,0.000387,V14,-4.88965
44906,24.0,11,0,0.0,V4,-6.537629
146371,14.83,0,0,0.0,V4,-3.895293
190099,365.03,11,0,3.1e-05,V4,-6.388348
131266,12.99,22,0,6.6e-05,V14,-4.39251
88591,302.39,17,1,0.926095,V12,-2.750716
171032,2.99,9,0,1.2e-05,V1,-6.242604
50693,647.0,12,0,0.000443,V12,-4.530615
23902,584.75,9,0,9e-06,V14,-4.235258
154132,15.95,4,0,2e-06,V4,-4.95825
141886,1.0,23,0,0.001562,V4,-4.078104
128754,8.99,21,0,0.000101,V18,-3.683222
180537,4.99,10,0,0.0,V4,-5.107997
7931,14.95,3,0,0.0,V14,-5.305628
176742,1.79,10,0,9e-06,V4,-7.151091
160725,12.57,7,0,0.000238,V4,-3.500186
179014,24.75,10,0,1e-06,V1,-6.011042
159864,1.0,7,0,1.3e-05,V1,-6.605426
76939,12.31,15,0,0.000887,V12,-4.33056
106477,7.83,19,0,2.5e-05,V14,-3.695396
276968,1.79,22,0,7e-06,V4,-6.319111
192088,35.0,11,0,1e-05,V14,-4.544446
257607,12.31,19,0,0.000402,V1,-6.193238
26429,11.41,9,0,0.006996,V11,-4.131871
207034,280.35,13,0,0.565905,V4,-4.976486
205517,1.79,13,0,0.003027,V1,-6.653612
218207,90.0,15,0,0.000532,V4,-5.939422
138118,27.72,22,0,0.000854,V14,-4.955334
163728,29.0,8,0,3e-06,V4,-4.182033
282376,97.88,23,0,5e-06,V4,-7.815936
275482,5.46,22,0,0.000192,V3,-3.206194
127346,2.18,21,0,7e-06,V3,-4.310406
124814,360.0,21,0,0.000296,V14,-2.470386
23674,33.98,9,0,1e-05,V3,-8.310786
93969,228.0,17,0,0.029647,V14,-2.870225
182671,128.19,10,0,1.6e-05,V12,-3.447779
159732,37.53,7,0,0.0036,V10,-2.89213
141905,1.0,23,0,0.000273,V4,-3.472926
171735,10.99,9,0,7e-06,V4,-6.192477
190263,0.76,11,1,0.999414,V10,1.64749
220160,6.0,15,0,0.000306,V4,-5.953522
51161,31.1,12,0,0.000196,V14,-5.083564
40708,30.0,11,0,0.000177,V3,-6.985136
193638,15.0,12,0,0.000222,V4,-5.221132
97634,0.9,18,0,0.000126,V3,-4.831456
11733,29.67,5,0,0.0,V3,-5.447716
239278,324.99,17,0,2.4e-05,V4,-5.410296
94100,8.07,17,0,0.0,V4,-3.177647
244804,30.0,18,0,2.7e-05,V4,-4.465197
237981,115.0,17,0,0.000693,V4,-8.351656
101180,2.5,18,0,0.061568,V14,-5.116998
129567,1.0,21,0,0.136496,V27,-1.507461
126320,1.0,21,0,0.000344,V12,-4.041519
217189,266.85,15,0,3e-06,V11,-8.273088
159965,1.0,7,0,1e-06,V4,-4.742549
96920,24.9,18,0,0.002654,V14,-4.790786
80783,278.94,16,0,0.000282,V4,-3.830115
64015,39.95,14,0,0.000669,V4,-3.61888
37895,20.0,10,0,2e-06,V4,-5.38856
237636,1.98,17,0,4e-06,V1,-6.014137
230117,445.45,16,0,0.000114,V4,-4.662903
104423,99.95,19,0,0.000331,V14,-4.69709
200583,40.0,13,0,5.2e-05,V4,-4.964732
157097,0.9,6,0,0.0,V14,-5.243704
39452,127.0,11,0,1e-05,V11,-6.12519
